timestamp,ax,ay,az,gx,gy,gz,label
11:59:52.066,1.111,-2.481,9.587,-0.006,-0.001,1.082,fall
11:59:52.072,1.109,-2.634,9.546,-0.035,-0.008,1.109,fall
11:59:52.113,1.18,-2.567,9.628,0.0,-0.019,1.178,fall
11:59:52.159,1.2,-2.495,9.704,0.004,-0.026,1.252,fall
11:59:52.203,1.358,-2.43,9.649,-0.007,-0.026,1.295,fall
11:59:52.249,1.393,-2.478,9.656,0.001,-0.024,1.367,fall
11:59:52.293,1.372,-2.361,9.582,-0.003,0.006,1.331,fall
11:59:52.337,1.307,-2.196,9.565,-0.03,0.018,1.31,fall
11:59:52.383,1.341,-2.275,9.529,-0.046,0.02,1.379,fall
11:59:52.428,1.382,-2.406,9.668,-0.072,0.052,1.252,fall
11:59:52.433,1.171,-2.56,9.594,-0.039,0.062,1.204,fall
11:59:52.475,1.128,-2.507,9.527,-0.021,0.07,0.982,fall
11:59:52.520,0.929,-2.974,9.613,0.075,0.042,0.97,fall
11:59:52.564,0.855,-2.897,9.539,0.176,0.036,0.634,fall
11:59:52.607,0.642,-2.868,9.584,0.344,0.014,0.577,fall
11:59:52.652,0.448,-2.37,9.623,0.356,0.025,0.153,fall
11:59:52.697,0.072,-2.488,9.728,0.327,-0.004,0.105,fall
11:59:52.743,0.0,-2.428,9.465,0.323,0.018,-0.194,fall
11:59:52.788,-0.371,-2.296,9.819,0.301,0.027,-0.328,fall
11:59:52.793,-0.266,-2.198,10.245,0.234,0.027,-0.431,fall
11:59:52.834,-0.524,-2.471,10.233,0.184,0.007,-0.508,fall
11:59:52.879,-0.524,-2.54,9.96,0.229,-0.043,-0.491,fall
11:59:52.922,-0.421,-2.49,9.81,0.323,-0.103,-0.328,fall
11:59:53.012,-0.194,-1.884,9.769,0.411,-0.113,-0.144,fall
11:59:53.016,-0.211,-1.595,9.668,0.44,-0.084,-0.23,fall
11:59:53.057,-0.151,-1.219,9.857,0.476,-0.054,-0.244,fall
11:59:53.101,-0.306,-0.852,10.032,0.433,-0.027,-0.388,fall
11:59:53.148,-0.383,-0.819,10.066,0.399,-0.056,-0.424,fall
11:59:53.154,-0.412,-0.522,9.814,0.383,-0.093,-0.402,fall
11:59:53.195,-0.259,-0.414,9.771,0.329,-0.151,-0.007,fall
11:59:53.237,0.079,-0.117,10.209,0.292,-0.128,0.036,fall
11:59:53.282,0.012,0.156,9.944,0.204,-0.146,0.139,fall
11:59:53.328,0.402,0.172,9.932,0.135,-0.177,0.469,fall
11:59:53.372,0.515,0.266,9.843,0.071,-0.179,0.577,fall
11:59:53.417,0.905,0.524,10.087,-0.02,-0.259,1.171,fall
11:59:53.462,1.48,0.366,9.793,-0.069,-0.252,1.583,fall
11:59:53.507,1.779,0.493,10.056,-0.057,-0.229,2.009,fall
11:59:53.512,2.289,0.467,10.494,-0.011,-0.194,2.308,fall
11:59:53.559,2.363,0.862,10.281,0.047,-0.206,2.519,fall
11:59:53.599,2.528,0.783,9.795,0.02,-0.229,2.528,fall
11:59:53.645,2.627,0.986,10.059,0.075,-0.252,2.873,fall
11:59:53.689,2.861,0.884,9.69,0.062,-0.169,2.665,fall
11:59:53.733,2.624,0.972,9.534,0.071,-0.076,2.574,fall
11:59:53.778,2.531,1.003,9.625,0.015,-0.015,2.342,fall
11:59:53.823,2.306,0.702,9.647,-0.003,-0.006,2.516,fall
11:59:53.868,2.447,0.486,9.616,0.072,0.027,2.416,fall
11:59:53.873,2.476,0.587,9.539,0.18,0.022,2.392,fall
11:59:53.915,2.425,0.929,9.573,0.237,-0.001,2.497,fall
11:59:54.003,2.533,1.027,9.264,0.247,-0.016,2.492,fall
11:59:54.008,2.483,1.355,10.236,0.315,-0.065,2.574,fall
11:59:54.053,2.77,1.508,11.287,0.401,-0.087,2.646,fall
11:59:54.089,2.627,1.99,8.919,0.445,-0.025,2.785,fall
11:59:54.135,2.22,1.449,8.952,0.369,0.381,1.303,fall
11:59:54.181,0.74,1.765,9.024,0.404,0.53,0.259,fall
11:59:54.225,-0.194,2.119,9.776,0.377,0.452,-0.412,fall
11:59:54.229,-0.469,2.469,10.224,0.237,0.244,-0.402,fall
11:59:54.271,-0.117,2.473,10.231,0.008,0.082,0.06,fall
11:59:54.317,0.017,1.899,10.205,-0.119,0.108,-0.122,fall
11:59:54.363,-0.33,1.813,10.389,-0.052,0.087,-0.455,fall
11:59:54.407,-0.23,1.903,10.049,-0.106,-0.07,0.007,fall
11:59:54.451,0.012,1.48,9.932,-0.113,-0.133,0.247,fall
11:59:54.495,0.474,1.669,9.788,-0.035,-0.149,0.476,fall
11:59:54.541,0.338,1.779,9.762,-0.04,-0.114,0.35,fall
11:59:54.586,0.491,1.525,9.747,-0.011,-0.121,0.481,fall
11:59:54.590,0.35,1.702,9.606,0.07,-0.062,0.218,fall
11:59:54.632,0.146,1.705,9.726,0.073,-0.07,0.204,fall
11:59:54.677,0.381,1.822,9.462,0.1,-0.089,0.421,fall
11:59:54.721,0.259,2.37,9.893,0.031,-0.028,0.134,fall
11:59:54.767,0.23,2.073,9.426,-0.068,-0.036,0.297,fall
11:59:54.811,0.187,1.925,8.624,-0.083,-0.021,0.211,fall
11:59:54.856,0.472,1.834,7.485,-0.101,-0.058,0.599,fall
11:59:54.900,0.639,1.36,5.438,-0.118,-0.058,0.429,fall
11:59:54.946,0.275,1.202,4.659,-0.04,-0.114,0.491,fall
11:59:54.950,0.663,1.698,5.339,-0.047,-0.191,0.608,fall
11:59:54.993,0.697,1.121,3.876,-0.183,-0.218,0.991,fall
11:59:55.037,0.881,0.833,5.38,-0.231,-0.107,0.237,fall
11:59:55.085,-0.4,0.295,4.923,-0.41,-0.053,-0.611,fall
11:59:55.127,-0.46,-1.781,5.435,-0.464,-0.283,0.019,fall
11:59:55.171,0.385,-2.576,7.918,-0.154,-0.354,0.192,fall
11:59:55.216,0.984,-4.908,7.224,-0.039,-0.619,2.849,fall
11:59:55.261,5.088,-6.946,11.785,0.426,-0.867,6.101,fall
11:59:55.305,6.52,-11.816,10.061,0.634,-0.642,7.396,fall
11:59:55.309,7.279,-12.764,9.819,2.004,-0.239,6.762,fall
11:59:55.351,8.823,-9.221,8.952,2.018,-0.392,11.229,fall
11:59:55.397,10.739,-10.023,1.08,2.644,0.245,7.58,fall
11:59:55.442,2.2,-0.35,6.247,3.929,2.752,-14.579,fall
11:59:55.487,-23.606,15.407,7.032,4.964,2.23,-14.974,fall
11:59:55.531,1.281,17.452,8.402,-0.031,-1.463,7.114,fall
