timestamp,ax,ay,az,gx,gy,gz,label
08:04:13.578,0.974,-0.236,3.53,0.624,-0.295,1.045,run
08:04:13.623,0.697,1.511,4.286,0.381,0.026,-0.497,run
08:04:13.666,-1.76,3.155,13.34,0.204,0.271,-1.24,run
08:04:13.709,-3.141,6.396,17.494,0.179,0.563,-4.856,run
08:04:13.755,-5.348,7.267,21.235,0.038,0.974,-5.93,run
08:04:13.799,-7.087,6.135,14.336,-0.118,1.057,-6.52,run
08:04:13.894,-4.435,1.917,9.004,-0.281,0.199,-2.349,run
08:04:13.899,-0.93,-0.05,4.003,0.158,-0.193,-0.164,run
08:04:13.903,-0.036,-0.413,1.84,0.461,-0.161,-0.399,run
08:04:13.934,-0.383,-0.007,1.368,0.53,-0.251,0.035,run
08:04:13.978,0.338,0.753,2.799,0.394,-0.49,0.418,run
08:04:14.026,0.073,2.555,13.691,0.43,-0.587,0.961,run
08:04:14.114,2.636,10.942,21.248,0.545,-0.715,4.015,run
08:04:14.120,1.247,6.598,19.649,-0.686,-0.225,0.382,run
08:04:14.154,0.832,6.267,16.957,-0.289,-0.79,2.167,run
08:04:14.201,2.469,3.849,11.059,-0.399,-0.705,1.846,run
08:04:14.292,1.602,0.092,5.702,-0.368,-0.437,1.49,run
08:04:14.306,1.434,-1.109,1.842,-0.032,-0.345,1.297,run
08:04:14.313,1.2,-0.39,2.66,0.078,-0.141,0.879,run
08:04:14.385,0.52,-0.175,3.204,-0.143,0.157,0.432,run
08:04:14.391,0.311,0.166,5.73,-0.426,0.37,-0.447,run
08:04:14.429,-0.521,4.161,14.932,0.22,0.586,-0.931,run
08:04:14.476,-1.938,8.768,20.659,-0.367,1.007,-3.399,run
08:04:14.519,-2.968,3.503,17.294,-0.991,0.875,-2.606,run
08:04:14.564,-2.819,4.184,13.988,-0.588,0.661,-2.689,run
08:04:14.607,-2.261,2.09,9.357,-0.807,0.455,-1.536,run
08:04:14.653,-0.54,-1.162,3.568,-0.78,0.06,0.633,run
08:04:14.660,1.225,-2.058,1.565,-0.366,-0.118,1.779,run
08:04:14.699,2.589,-2.569,1.165,0.064,-0.054,2.562,run
08:04:14.744,1.73,0.032,5.834,0.517,0.139,0.609,run
08:04:14.789,-0.073,6.763,18.7,0.84,0.073,0.848,run
08:04:14.834,0.652,8.161,20.076,-0.225,-0.133,1.079,run
08:04:14.876,1.923,2.118,14.967,-1.114,-0.314,1.854,run
08:04:14.921,1.142,-0.39,11.699,-0.353,-0.265,0.606,run
08:04:14.966,0.025,1.091,8.354,0.111,-0.129,-0.237,run
08:04:15.012,0.116,-1.426,3.022,-0.121,-0.31,0.656,run
08:04:15.020,0.911,-3.766,0.98,-0.186,-0.309,1.056,run
08:04:15.062,1.393,-4.906,1.105,0.415,-0.095,1.523,run
08:04:15.106,1.003,-1.212,9.93,1.092,0.307,-2.988,run
08:04:15.151,0.922,4.814,12.679,1.819,0.569,-0.983,run
08:04:15.199,-7.104,8.969,22.016,0.113,1.386,-7.248,run
08:04:15.282,-4.079,0.936,16.443,-1.968,0.118,-1.234,run
08:04:15.290,-0.254,-1.917,11.324,-1.08,-0.449,-0.334,run
08:04:15.328,-0.706,-0.807,8.968,-0.628,-0.169,-0.498,run
08:04:15.371,0.152,-3.149,5.111,-0.39,-0.246,0.845,run
08:04:15.376,1.411,-2.855,3.153,0.033,-0.355,1.786,run
08:04:15.420,2.429,-2.222,3.469,0.236,-0.291,3.286,run
08:04:15.480,3.817,-3.793,1.682,0.43,0.049,3.823,run
08:04:15.510,0.618,4.196,23.737,1.106,0.537,-1.001,run
08:04:15.581,-0.063,4.948,18.913,0.447,-0.111,4.919,run
08:04:15.599,6.017,3.996,22.119,-1.04,-0.657,7.931,run
08:04:15.641,7.986,-5.667,14.584,-1.497,0.031,4.783,run
08:04:15.685,1.336,-2.434,11.105,-0.028,0.869,-0.347,run
08:04:15.733,-0.658,-0.204,8.474,0.372,0.661,-0.073,run
08:04:15.742,0.567,-1.131,6.009,0.085,0.288,0.931,run
08:04:15.782,1.477,-3.274,3.808,-0.108,0.211,1.589,run
08:04:15.824,1.049,-4.695,2.307,0.207,0.373,0.969,run
08:04:15.870,1.449,-3.887,0.913,0.895,0.446,2.212,run
08:04:15.916,1.902,0.211,11.708,1.351,0.644,-2.404,run
08:04:16.003,-1.359,2.467,9.61,1.287,1.174,-2.148,run
08:04:16.014,-3.236,6.753,20.352,0.543,0.769,-3.019,run
08:04:16.049,-0.426,1.055,18.841,-0.71,0.034,0.271,run
08:04:16.139,-0.368,-1.298,14.778,-0.477,0.166,-0.411,run
08:04:16.148,-0.886,-3.146,10.497,-0.196,0.362,-0.563,run
08:04:16.157,-0.204,-3.539,7.106,0.349,0.221,0.17,run
08:04:16.185,1.069,-2.874,4.323,0.785,0.099,1.603,run
08:04:16.240,1.052,-2.986,2.867,1.111,0.199,0.742,run
08:04:16.274,1.625,-3.886,1.994,1.496,0.216,1.962,run
08:04:16.315,0.553,2.121,13.017,2.139,0.545,-0.809,run
08:04:16.364,-0.719,3.502,13.334,1.83,0.823,0.04,run
08:04:16.453,-1.306,7.327,18.952,1.323,0.399,-2.224,run
08:04:16.503,-1.334,3.524,16.62,0.195,0.06,-1.109,run
08:04:16.508,-1.51,1.146,13.474,0.028,-0.02,-1.756,run
08:04:16.513,-0.781,0.8,11.833,0.138,-0.433,0.414,run
08:04:16.543,1.092,-0.746,9.158,0.162,-0.543,0.796,run
08:04:16.590,0.055,-0.958,7.16,0.49,-0.172,-0.443,run
08:04:16.638,-0.345,-0.128,6.165,0.841,-0.133,-0.345,run
08:04:16.680,-1.13,0.51,6.001,1.017,-0.127,-1.994,run
08:04:16.721,-2.811,1.021,6.35,1.011,-0.261,-3.485,run
08:04:16.765,-3.562,1.476,6.036,0.92,-0.777,-2.461,run
08:04:16.809,-1.377,3.693,11.131,0.945,-1.284,-0.705,run
08:04:16.816,-0.016,6.61,14.101,0.655,-1.449,1.559,run
08:04:16.856,2.927,6.359,16.612,0.019,-1.386,2.63,run
08:04:16.900,1.484,7.624,17.2,-0.296,-0.597,0.038,run
08:04:16.946,-0.849,4.999,13.472,-0.923,0.084,-0.874,run
08:04:17.046,-0.187,2.398,10.751,-1.091,-0.07,0.655,run
08:04:17.051,1.638,-0.286,7.5,-0.766,-0.188,1.75,run
08:04:17.082,1.197,-0.241,5.919,-0.049,0.068,0.844,run
08:04:17.174,0.382,0.324,4.364,0.32,0.146,0.153,run
08:04:17.266,0.676,0.13,3.225,0.549,-0.04,1.367,run
08:04:17.281,2.21,1.559,4.084,0.585,-0.209,3.005,run
08:04:17.286,4.264,3.761,12.541,0.218,-0.177,4.528,run
08:04:17.297,4.255,7.33,19.042,-0.188,0.32,4.34,run
08:04:17.307,0.8,3.71,20.979,-0.493,0.811,-1.336,run
08:04:17.355,-0.148,5.594,18.616,-0.484,0.067,0.49,run
08:04:17.399,0.5,0.164,11.294,-0.774,-0.208,-0.186,run
08:04:17.443,-0.178,-1.243,6.696,-0.161,-0.234,0.449,run
08:04:17.487,1.032,-2.405,2.962,0.262,-0.414,1.285,run
08:04:17.533,1.325,-2.416,2.26,0.632,-0.383,1.816,run
08:04:17.540,2.065,-1.103,2.255,0.874,-0.119,1.88,run
08:04:17.583,1.598,0.42,5.88,0.54,0.293,-0.735,run
08:04:17.621,-0.241,3.441,12.741,0.722,0.24,0.631,run
08:04:17.722,0.5,6.672,18.546,0.384,0.52,-2.217,run
08:04:17.730,-4.93,7.57,22.853,0.345,1.08,-3.953,run
08:04:17.803,-3.87,7.427,16.94,-0.134,0.786,-3.546,run
