timestamp,ax,ay,az,gx,gy,gz,label
17:13:33.284,-0.867,0.014,10.023,-0.014,0.037,-0.884,static
17:13:33.298,-0.943,-0.007,10.047,-0.012,0.029,-0.888,static
17:13:33.343,-0.814,0.057,9.994,-0.020,0.023,-0.785,static
17:13:33.387,-0.912,-0.024,10.047,-0.027,0.049,-0.953,static
17:13:33.434,-0.812,-0.086,9.977,-0.027,0.022,-0.833,static
17:13:33.436,-0.828,-0.113,10.030,-0.010,0.039,-0.886,static
17:13:33.480,-0.895,-0.079,10.020,-0.001,0.036,-0.905,static
17:13:33.530,-0.893,-0.110,10.027,0.005,0.037,-0.927,static
17:13:33.575,-0.977,-0.057,10.001,0.001,0.020,-0.776,static
17:13:33.615,-0.821,-0.072,9.977,0.008,0.030,-0.893,static
17:13:33.669,-0.833,-0.019,10.008,0.002,0.029,-0.807,static
17:13:33.710,-0.828,-0.031,9.944,0.001,0.044,-0.888,static
17:13:33.794,-0.893,-0.019,9.992,0.004,0.041,-0.900,static
17:13:33.796,-0.876,-0.022,10.032,0.014,0.036,-0.864,static
17:13:33.837,-0.888,0.017,10.013,0.002,0.034,-0.857,static
17:13:33.882,-0.891,0.010,10.023,-0.004,0.034,-0.891,static
17:13:33.927,-0.900,-0.017,10.013,-0.027,0.031,-0.886,static
17:13:33.973,-0.898,-0.091,10.015,-0.016,0.025,-0.884,static
17:13:34.017,-0.917,-0.041,10.068,0.014,0.026,-0.905,static
17:13:34.064,-0.895,0.005,9.975,0.026,0.018,-0.931,static
17:13:34.065,-0.864,0.081,9.968,0.009,0.009,-0.819,static
17:13:34.108,-0.809,0.007,9.905,-0.010,0.015,-0.790,static
17:13:34.154,-0.754,0.014,9.958,-0.022,0.032,-0.852,static
17:13:34.199,-0.862,-0.055,9.994,-0.023,0.035,-0.888,static
17:13:34.245,-0.955,-0.055,10.049,-0.005,0.028,-0.840,static
17:13:34.289,-0.795,-0.026,10.162,0.008,0.019,-0.752,static
17:13:34.335,-0.785,0.065,10.123,0.003,0.045,-0.912,static
17:13:34.379,-0.893,0.000,10.008,-0.021,0.017,-0.862,static
17:13:34.427,-0.826,-0.089,9.948,-0.020,0.025,-0.819,static
17:13:34.470,-0.824,-0.103,10.020,-0.013,0.029,-0.860,static
17:13:34.513,-0.864,-0.057,10.032,-0.006,0.037,-0.869,static
17:13:34.558,-0.943,-0.041,10.049,0.008,0.027,-0.800,static
17:13:34.604,-0.742,-0.045,9.982,0.028,0.028,-0.807,static
17:13:34.654,-0.852,0.062,9.965,0.019,0.035,-0.828,static
17:13:34.692,-0.809,0.045,10.003,0.002,0.030,-0.795,static
17:13:34.694,-0.821,0.005,9.984,0.000,0.038,-0.821,static
17:13:34.739,-0.821,0.029,10.092,-0.007,0.034,-0.864,static
17:13:34.784,-0.831,0.041,9.982,-0.019,0.032,-0.816,static
17:13:34.829,-0.843,-0.041,10.008,-0.020,0.027,-0.812,static
17:13:34.875,-0.742,-0.002,10.063,-0.012,0.039,-0.836,static
